Layer,Name,GEOID,Population,VRFIR_2019-2023,VRFIR_2019-2023_se,HCSRC_2023-2024,HCSRC_2023-2024_se,HCSPCP_2023-2024,HCSPCP_2023-2024_se,UNS_2019-2023,UNS_2019-2023_se,HCSNC_2023-2024,HCSNC_2023-2024_se,CZA_2024,CZA_2024_se,CZD_2024,CZD_2024_se,CZH_2024,CZH_2024_se,CZM_2024,CZM_2024_se,CZR_2024,CZR_2024_se,CZS_2024,CZS_2024_se,CZV_2024,CZV_2024_se,HCSNVP_2023-2024,HCSNVP_2023-2024_se,CHAOVXP_2018-2022,CHAOVXP_2018-2022_se,HTJ_2019-2023,HTJ_2019-2023_se,FAI_2020,FAI_2020_se,LFA_2019,LFA_2019_se,PCP_2011,PCP_2011_se,HCSHYT_2023-2024,HCSHYT_2023-2024_se,VRBW_2019-2023,VRBW_2019-2023_se,HCSNS_2023-2024,HCSNS_2023-2024_se,HCSTLE_2023-2024,HCSTLE_2023-2024_se,HCSTLG_2023-2024,HCSTLG_2023-2024_se,EDB_2019-2023,EDB_2019-2023_se,EDA_2019-2023,EDA_2019-2023_se,UMP_2019-2023,UMP_2019-2023_se,HTA_2019-2023,HTA_2019-2023_se,INC_2019-2023,INC_2019-2023_se,PCI_2019-2023,PCI_2019-2023_se,POV_2019-2023,POV_2019-2023_se,SNQ_2019-2023,SNQ_2019-2023_se,TNF_2019-2023,TNF_2019-2023_se,VRTEEN_2019-2023,VRTEEN_2019-2023_se,FOR_2019-2023,FOR_2019-2023_se,LEQ_2019-2023,LEQ_2019-2023_se,PCT-W_2019-2023,PCT-W_2019-2023_se,POP_2019-2023,POP_2019-2023_se,VRSU_2019-2023,VRSU_2019-2023_se,VRDO_2019-2023,VRDO_2019-2023_se,VFHO_2019-2023,VFHO_2019-2023_se,VRFI_2019-2023,VRFI_2019-2023_se,VRHOR_2019-2023,VRHOR_2019-2023_se,VRLE_2023,VRLE_2023_se
Community area,Portage Park,15,63038,1.6,1.6,37200.0,4578.0794145,43300.0,5383.1451097,12.551883241208404,0.926956717712262,30900.0,4440.9652569,129.8887174300125,,43.05852868645818,,1.1455166650941129,,1343.6253352126719,,78.71057143128866,,12.035257623539003,,221.78006314993428,,15.590499887,3.9060170323,23002.176294,,3.262852924572017,0.7394945997904293,13.791707908292093,,24.825778700209526,,38.987842,,19200.0,3287.0894816,267.0,,36500.0,4584.2830249,27900.0,4369.8990792,20700.0,3663.7376273,88.40360886614367,2.4804714408409834,93.81999423694253,3.304244997321411,4.531794460666926,0.8413552797973128,5.326814801679148,1.03581532384403,89727.84680108806,4610.5809601763085,41742.320663489234,1319.699017533346,9.688275443183121,1.2076844400647468,58.16067052666049,5.864855297427099,2.202305126695172,0.5630131410701541,69.0,,30.47893042270656,1.6106080390433517,21.38225118012462,0.777019067483151,48.31345348650228,1.7997699550429451,61811.44487970302,,39.0,,97.0,,15.0,,8.0,,4.9,2.5,80.16717719,
Community area,Irving Park,16,51911,1.8,1.8,26800.0,3340.7403987,27700.0,3271.9338806,10.184626445426579,0.8379800588277343,21800.0,2877.8519892,125.68125479094002,,32.948217029029195,,1.1737060293539678,,1523.803694237045,,91.19984432441345,,13.455191429310512,,231.50999657401792,,13.288071193,3.8803411523,21812.434559,,2.969514800716886,0.7766601120833235,12.46597523195046,,15.215599023258303,,11.978078,,12800.0,2424.2686523,248.0,,31100.0,3818.1809926,19900.0,3069.6859018,18600.0,2891.4190835,87.65789528852285,2.405235847394061,91.86807063490693,2.655013135743318,6.225681157604156,1.0719195745373407,6.022223315276754,1.169542993761647,89589.08389481352,5997.578063152141,48622.54895937907,1860.6165797902884,10.53274037488431,1.3552040713951403,62.91589433254933,7.247022522399922,2.9808798455196936,0.641646421491366,58.0,,26.153621942185065,1.5627167098084296,17.60976934192282,0.689681444725203,43.79454125399038,1.4664584544712356,53799.21724837432,,15.0,,59.0,,10.0,,7.0,,1.8,2.6,81.29441083,
Community area,Dunning,17,43120,5.3,2.7,26300.0,3433.4945938,27300.0,3537.3746058,8.340185887954489,0.9109774003979306,21000.0,3298.2247227,70.56235796361311,,15.097271242575287,,0.8260379003668573,,768.7093247270533,,36.21435397866892,,10.415151059399278,,118.01790090204817,,9.3702986251,2.9806395616,16188.408952,,2.570934858460028,0.9377625955396982,11.69204414198639,,47.36047938175431,,23.984867,,12500.0,2450.5231312,187.0,,26000.0,3595.7262972,22900.0,3428.224581,17200.0,3002.34325,89.0554349365489,2.1076166494470017,94.0534664411003,2.435718631846365,5.414150284103443,1.2296392359434039,4.080084452657444,1.0921052367284882,84669.03586641549,5510.011586330463,40403.493034329345,1542.298430434245,8.649306449718223,1.4204706945299053,83.26070050824279,6.661670951145062,2.4785985215939568,0.7634387334104543,38.0,,31.6280715284143,1.8183577988016741,22.317646684088693,1.0944973928969761,54.17743965943235,2.6369638615559317,41790.54391885413,,20.0,,50.0,,12.0,,10.0,,5.3,3.2,80.13487151,
Community area,Montclare,18,14412,0.0,3.4,7800.0,1379.4873866,9500.0,1602.847214,6.644562870260643,1.6278129978002502,6000.0,1077.678937,12.852788714875244,,2.4455416611842073,,0.1502715752455343,,155.18817866851046,,6.382998510725936,,1.6832667628598998,,21.069325563706613,,16.720374013,5.0476236034,4769.5772846,,2.936339661205024,1.6928493395824018,14.042209011045054,,0.07582526346431473,,10.031645,,4200.0,937.06979936,59.0,,7600.0,1519.9744584,7600.0,1544.6341473,4300.0,1005.6998434,80.73279475592356,4.594019566279995,88.09039577020617,4.196342966917452,3.954944267189667,2.0926456677208396,8.268812519407923,4.112407505224959,77047.40608059918,9685.921895062418,34401.65612891482,3625.6921879574816,9.986571582940877,3.929749495805008,62.298804677160334,20.773016471929267,2.769987792399563,1.4991975752298126,19.0,,33.21179381806552,6.280040833602015,19.718282725360144,1.1722186328794035,31.590930825214873,4.70152545654496,14094.398220930922,,9.0,,19.0,,3.0,,3.0,,0.0,3.4,81.17379197,
Community area,Belmont Cragin,19,78151,9.8,2.7,35900.0,2922.3961257,39800.0,3092.3121666,17.1919571446599,0.9502597350953667,24200.0,2344.7625642,236.2484284970797,,51.50991967718475,,3.472254745222754,,1636.8838372681012,,159.3805157916327,,24.861041916287643,,423.96224095022274,,27.390184797,3.1085498098,23084.959022,,8.762488880338523,1.385831001291775,14.593182993183,,0.009706784556317172,,23.009328,,15100.0,1954.0168135,323.0,,25500.0,2383.2095717,30200.0,2731.000382,20500.0,2226.4746322,68.89954342613682,1.6699772276483837,79.78048730053399,2.491699491333066,5.012924206437337,0.912758195144365,5.894341774559839,1.0405374272112298,67748.79791496205,4144.159881287045,26262.21224572958,948.4040027582176,14.86186867555577,2.0215363119514866,49.407177086470234,5.044830842218311,4.577207944642089,0.935455222449039,210.0,,38.22138655669846,1.8000712143004378,29.863612740210844,0.9359458845774272,13.221286850803562,1.2491344248413287,72957.32746233538,,26.0,,118.0,,47.0,,40.0,,11.2,3.3,80.18447108,
Community area,West Ridge,2,77139,2.7,1.6,38700.0,4649.7677367,42900.0,4805.1196969,13.914166743621093,1.028043625468244,26500.0,3573.7084353,145.6690141637093,,22.948026974418532,,2.834686114215809,,1581.3607874873096,,95.37165748207656,,22.371818894165184,,266.2471766541669,,17.0639566,3.4258582609,26521.719736,,8.026736768877477,1.3434699097476364,19.10717411434823,,9.326422028522687,,33.057254,,16700.0,2932.7635599,433.0,,34500.0,4458.2637851,28900.0,4238.3948809,24500.0,4102.656858,84.12118015973996,2.6909199491802664,89.92344193346457,3.7346960838901118,7.3848551102648985,1.1935716771057034,6.625850917824122,1.2083223765081852,73519.80716502441,3562.1381857710985,33663.4716533059,1376.833298908644,17.604205687157066,1.772572557172094,58.6849051350242,9.661616407774645,4.255993363902093,0.868462177769383,100.0,,38.381614795586934,1.7373007773178426,22.466532966463255,1.3386085400711139,39.55820612140731,2.3524498808692718,78241.3898907919,,23.0,,44.0,,14.0,,11.0,,2.7,1.8,80.90426387,
Community area,Hermosa,20,24127,8.1,4.5,17500.0,2513.0081599,15300.0,2191.508053,17.045548335674013,1.6542521521814906,10400.0,1825.5124898,82.90894029560799,,17.99967010836942,,1.222650801088099,,577.5451234395026,,57.41839501371457,,8.596598547474613,,150.14658465788528,,14.840824015,3.7951819655,7431.2395086,,7.8206459492263285,2.1239469946537635,15.481106143318431,,0.0015602237616867607,,1.993512,,7400.0,1789.6973952,111.0,,13700.0,2362.4366343,12300.0,2165.0327613,12900.0,2340.5334316,72.84229388124231,2.120379472868889,83.05431317229294,2.9316742367544086,5.780764747183179,1.4799729336801613,9.813131746173074,2.2767074005755843,66919.50326119733,4416.757131656467,27889.138541430686,1514.8011370801755,15.278547723212533,2.7054559673427003,60.44143086224915,9.064790784665913,3.4608724062428737,1.11565535611689,66.0,,32.390281868244514,2.672809489528911,30.261148895503073,1.0161970234290914,11.23784428916805,2.241214921998172,22840.711123078854,,8.0,,38.0,,11.0,,11.0,,8.1,4.5,80.40595537,
Community area,Avondale,21,36245,2.0,2.1,20700.0,2682.4996474,21000.0,2726.1377907,14.310751317280538,1.43044991000952,13000.0,1804.8484179,77.16639519444288,,14.02289822821213,,0.8909701018680808,,1046.125217005901,,62.16986127218459,,9.811843450333113,,150.03907001882865,,18.620877071,4.2709612015,14437.900709,,1.5979217849708296,0.9662400413235412,14.374780723465069,,0.008583818417405457,,7.010899,,6600.0,1511.0412803,149.0,,18600.0,2141.4209343,14000.0,2423.0552158,11900.0,2019.5612946,86.30866786254974,3.5300142287524423,91.59457804660268,4.022661034580335,5.337307324333144,1.0518503487181818,5.741391015532528,1.2242249039187874,92638.50315963042,5112.751409229324,48391.66213557346,2092.0063229524776,13.593692120242128,2.0532074487826155,68.65809606993136,6.725670369442541,2.4245621447275405,0.7378674740858042,54.0,,23.847187520129097,2.031002840269553,15.012070051231973,0.8315912848800925,37.263937498767376,1.6031161078370126,35476.86608196556,,14.0,,53.0,,9.0,,7.0,,2.0,2.4,81.0927751,
Community area,Logan Square,22,71742,0.9,1.2,36300.0,3843.4987248,41900.0,4491.9144582,7.600941816768278,0.6345322631853263,30800.0,3538.2831656,220.74021520447332,,38.77581201955467,,2.7029668161134315,,3270.6800266372948,,203.26990550708254,,27.907179138152152,,454.6202666658214,,32.21364429,4.8760577785,31902.634267,,1.5874785545865262,0.49899903032987675,12.573360346720698,,0.01047654778111483,,28.033222,,14500.0,3740.1227183,359.0,,43000.0,5016.2733198,25700.0,4097.0200445,21200.0,3278.8615901,92.47775807565803,2.1035208292173446,95.29382857620449,2.1579581866703657,4.159865859050716,0.62415086121772,3.8817973059042936,0.5972791779207974,108483.4527133085,3160.453566746896,67446.03435624081,1837.4647873399645,10.723666146487943,1.0510236308981808,64.4120602000951,7.108988590534858,3.2806239988421844,0.5686235754048609,61.0,,14.589546362533119,0.9321273269516912,12.60935524113475,0.7443549665096482,51.67469070735808,1.344952405051435,71128.33374586323,,35.0,,102.0,,13.0,,10.0,,1.7,1.7,81.40234493,
Community area,Humboldt Park,23,53832,41.7,7.1,33600.0,3238.3917479,32800.0,3169.5666731,17.870340796595787,1.1021655755324784,17700.0,2137.0309271,538.700771255694,,635.0973434194268,,17.70332071858038,,2907.857343080487,,331.6922331048909,,45.14000462721518,,933.2363297063804,,39.941668193,4.4665084195,18651.621943,,5.675156012569218,1.554160127186732,24.175778303113212,,16.42626303253027,,15.942042,,14300.0,1986.8675767,367.0,,18600.0,2348.0446617,15200.0,2136.0803853,13000.0,1999.6510553,76.31612842032898,2.8717362908820943,88.00319343594819,2.809521263080046,10.319454702776389,1.8941799230750802,15.349668095592381,2.4937754491291004,54944.469071392785,4159.788975613579,27001.389555142883,1420.2129153068497,26.63791325003478,3.0027502422523815,28.67108055834136,6.760433140274417,5.05134744612849,1.1991341646575293,207.0,,19.06017621178244,1.8760678515697335,13.164943277555302,0.9102251244434114,12.225110950956159,1.6148552587840002,55220.81155007664,,11.0,,265.0,,123.0,,117.0,,45.2,7.5,75.41444439,
Community area,West Town,24,87942,6.7,2.2,42200.0,3380.46483,44500.0,3410.2984077,4.577163849030084,0.4905404879742162,37700.0,3155.0190331,318.3363614608602,,124.11504929301299,,4.855802987129933,,4918.215954694959,,323.81962703574624,,35.70480773860823,,682.7165992223446,,25.610812164,2.9104353914,41054.284934,,1.5091216475167881,0.4272739848892633,13.576262391411086,,0.6113139499146899,,125.252381,,13900.0,1939.1351003,486.0,,43000.0,3434.6776805,27600.0,2718.8366725,22200.0,2530.0248,94.99343656254955,1.7898498663761657,96.8727860390227,1.8134678741475934,3.5288444335781466,0.6723471571387798,3.2596872579232534,0.5034985139967196,138827.8899346952,5077.597423781142,87361.5780452959,2256.4665695965773,8.925988410806852,0.823978431643134,67.51495094655016,7.621998525461005,2.6189430379834056,0.46034568391031344,52.0,,13.213144476219716,0.8084668044312157,8.010489376932325,0.6383927514975157,63.03796703039815,1.2540647186120857,86596.47618752357,,31.0,,113.0,,29.0,,25.0,,6.7,2.3,81.43207779,
Community area,Austin,25,96753,61.0,6.5,58400.0,4945.1040448,59500.0,5053.7529988,11.799108044908664,0.801028538394783,40000.0,4125.1167931,1065.4846327658631,,887.0763300768091,,47.32563424746653,,5212.9318615978,,642.6108518048846,,104.63702086449673,,1860.0581396827106,,39.271851507,3.7345382487,35654.894026,,4.472047825555017,0.8523398012050197,26.480406962848743,,32.4076171323229,,44.05404,,27500.0,3249.0023849,751.0,,37500.0,3964.6639972,36100.0,4060.3167763,29600.0,3744.9293498,81.73083998645838,2.6754660458116177,92.42788390908936,3.1476335916374,14.623577996787276,1.5147174140014592,12.522703676477398,1.4021538293147386,51909.39669333518,3149.884705800672,25795.70423434742,1485.6374476109788,24.746491156962122,1.956510299809934,35.84152309872025,3.594623397892135,6.653773308749134,0.9571339662237428,404.0,,9.844909413892417,1.027702915780771,14.191704105373411,0.6548581372242259,5.608256338343177,0.7748270372050939,99100.07379642606,,33.0,,566.0,,316.0,,285.0,,66.1,7.2,71.70767742,
Community area,West Garfield Park,26,17423,87.6,19.1,13700.0,2033.6797411,12900.0,1980.0928332,9.41093911228791,1.4656195854535197,9900.0,1865.3850217,263.9886737689222,,420.9008069886844,,12.58209638216253,,1011.5736384725673,,139.03898368807435,,24.8925508520965,,440.5023046912556,,52.711691842,6.7720572865,5906.376572,,6.824369216152119,2.196936543075949,35.6939967,,0.05012273011298076,,4.981901,,6800.0,1484.5998207,174.0,,6800.0,1502.915276,8600.0,1738.7928822,6000.0,1425.4384014,77.08281487948719,5.721594074888353,95.66665613977669,7.807719946449356,23.25294437266161,4.176409793875041,14.545018245381291,3.040776964894415,36481.37198347241,3588.548903539553,19395.25014187012,1395.2984787062865,31.97517769273143,3.752510503679048,23.711023475536095,4.966257163807306,4.46968797547935,1.3113294518374943,101.0,,1.790463301265788,0.8303167070393893,2.9850298502985035,1.062205551797403,2.1026437082665157,0.8047595382467535,15610.301388307964,,9.0,,159.0,,79.0,,74.0,,87.6,21.0,66.57828879,
Community area,East Garfield Park,27,19995,60.7,13.6,11200.0,1728.9429512,13100.0,1998.050754,10.79228130674465,1.8184631052958793,8200.0,1392.7159545,311.19954943378997,,349.6703894720363,,13.61416781911478,,1498.3673158962893,,184.76539279197846,,32.4814288241697,,542.0605388690528,,50.334441695,6.7089440721,7384.3138896,,4.616097162997054,1.773976485710294,37.705522293879,,52.33567965097874,,5.066998,,4700.0,969.26503782,185.0,,7000.0,1533.3517124,7400.0,1498.0232471,3800.0,935.11743276,82.33698459547068,4.954663571363775,95.3006548334761,4.960591846554289,16.80183283929874,2.967304540917125,19.38854598738008,2.982175661493318,38451.79765616725,4526.862855307724,24013.822229480847,1761.0478373596632,37.83572579041522,4.22654036665318,34.460988550247556,7.941944752484562,6.645303960818596,1.9027162034290734,115.0,,2.32798876571656,0.6480415419123441,3.861603177841175,0.6963134876183291,6.809255871726594,1.1300635757569653,20536.25418652476,,8.0,,160.0,,77.0,,70.0,,71.2,15.1,69.75663662,
Community area,Near West Side,28,67817,10.8,3.2,40000.0,3998.8063286,41300.0,4018.1933482,4.610459531920334,0.6600128776443397,31900.0,3596.612435,519.3328942378777,,259.93053216833744,,15.828881010979307,,5875.952342954144,,433.20547157285995,,73.907996634922,,1042.275243456639,,21.457563983,3.2983371142,32341.958875,,3.4748758687426706,1.0977583776334183,23.38987386962161,,16.38990407615421,,429.281696,,13600.0,2088.3563937,328.0,,33600.0,3385.082295,29400.0,3540.1114315,20000.0,2663.7566707,94.7788293565138,2.2112810540121663,97.76945730489757,2.2178637217103683,7.103445039241196,1.1412545092670745,3.7459209843456898,0.6616126462527494,115208.88975905182,5424.151673331551,79363.67109273923,3180.8274186782423,15.641425063763563,1.244609246892065,59.45187185141077,7.812815864109627,3.1440758091499545,0.7738660870697408,62.0,,17.308001947551237,1.0928434558454743,9.184271575413273,0.8952686399808013,42.830883243140114,1.6320770998374523,65999.4040916312,,20.0,,150.0,,59.0,,55.0,,10.8,3.8,78.32786612,
Community area,North Lawndale,29,34817,73.9,12.9,21200.0,2713.7559755,21300.0,2702.8803915,13.687966206753357,1.4991855135059562,16200.0,2173.5387373,497.31520388448996,,364.9835425058624,,25.03390173137885,,2023.8134917877583,,267.9805177886713,,42.28070380386501,,832.6103272084051,,55.324504693,5.8472387941,11798.764335,,5.4263881249632595,1.4480763716962122,33.76447811582493,,22.338545174726892,,71.849587,,9400.0,1703.007233,324.0,,9400.0,1583.6480097,10500.0,2160.090962,6900.0,1451.0187001,80.66891676985742,3.57388194599941,92.3790944746263,4.336552033157485,13.573627557642602,2.3541055765435273,15.736299742267693,2.4606705567121354,41907.44068139709,3532.0270505695735,22887.593537396635,1639.7342948230764,33.23424112901094,3.383259269224492,28.62435873822226,4.538528196595666,7.149680044452233,1.4156028601224104,222.0,,6.118020817879472,1.1439977037925704,28.516982870074784,1.252425926579093,4.7722755064037266,1.5145564981757444,31267.85857996239,,16.0,,260.0,,145.0,,136.0,,83.5,13.8,67.87316785,
Community area,Uptown,3,55120,1.3,1.0,39000.0,4413.2739767,38500.0,4373.9172774,10.605633446911877,1.2329665929487492,30400.0,3761.408846,159.28236153890478,,24.147635702721075,,1.4633903713769327,,1957.3680905727697,,99.88283613653678,,33.57266813111053,,294.20125617792905,,27.509064394,4.5494664281,30822.577413,,3.158422196722109,1.0563008504410438,18.181185205926027,,0.015916415268501398,,84.068768,,18800.0,3291.6968992,196.0,,36900.0,4127.5404756,21000.0,3214.338697,19500.0,3073.2114264,91.48107479481774,2.869915137110301,95.66478055064317,2.9136009284281297,4.599942497164568,0.9317528511489965,3.5057945584328065,0.8625196694846827,70488.18242158643,3550.0622039015816,51959.02776178306,1718.621145238604,20.64540550789181,1.9062803793776373,61.51886677663099,10.557623008375563,3.179156673696734,0.6879258448005185,32.0,,23.350418870327342,2.0822160108716026,9.822162354628558,0.8825798301115996,50.80426572838712,1.86189822766065,55447.87687186173,,23.0,,78.0,,9.0,,6.0,,1.3,1.7,77.44787098,
Community area,South Lawndale,30,71402,15.7,3.9,39600.0,3474.9095991,40600.0,3474.4132613,17.256474491386737,1.5800794729731673,21100.0,2382.5054725,580.8614692537955,,286.1915558873842,,28.995403800594747,,2511.213181111738,,315.0717953784192,,48.41859202396416,,973.3472604567736,,53.429504104,3.7473448857,20231.872388,,8.275751474917858,1.4630277664800513,20.181796017960185,,4.793402883875378,,46.805127,,11100.0,1618.850371,290.0,,17700.0,2322.3790175,28100.0,2864.276951,18200.0,2236.0367978,64.51183449724286,2.3630728786281208,76.0913923414505,2.6393145483582017,8.458289482423645,2.4898460771436817,7.976138347753986,1.8328730497136747,53030.96849969383,4388.230799201067,20938.014347572403,893.0902400221878,21.502317795342137,2.589821358727999,54.17135056266306,5.977700647365733,3.6323692315765697,1.3182988364782222,322.0,,38.83518713718447,2.0667969869849023,32.81542935845283,1.180760521803586,5.4965932270989715,0.9410993401665628,68751.12029499876,,13.0,,112.0,,77.0,,72.0,,18.7,4.2,80.28364816,
Community area,Lower West Side,31,33716,9.2,5.1,17100.0,2063.9032234,17000.0,1813.6695887,11.002281215614968,1.1215339777477282,11100.0,1360.3760542,188.78288392269144,,39.85590924412793,,9.210645613680313,,1342.9107852618588,,102.325373380331,,18.212412556584578,,318.53131547328735,,39.272421653,4.9064345096,13991.709583,,4.81066766627047,1.2947156575205276,17.203330603330606,,12.09545272684205,,40.655142,,6400.0,1174.679305,126.0,,13800.0,1701.4526052,8900.0,1653.0266603,8400.0,1583.3070208,77.61065418740445,3.020057324766386,84.72280044658012,3.102947740572573,7.3383836951273125,1.4671684462082102,6.861516471136307,1.5584597053109575,73639.5791844168,5361.046592036982,38578.66089929352,1721.6686238193338,15.966885954886582,2.2378667328179693,59.33427601918718,8.795162056811684,4.373018283766476,1.5705423903206792,58.0,,34.42636210415714,1.9740321575730626,23.617993900232406,1.1207408816744273,22.098639446138662,1.6185932739709894,33260.69255460174,,7.0,,41.0,,26.0,,26.0,,9.2,5.1,81.95800271,
Community area,Loop,32,43440,1.2,0.9,28000.0,3942.2972158,32800.0,4267.336067,5.067567709545796,0.9616880245690339,28900.0,3856.3446801,166.59133072183403,,180.9986026598823,,2.8997952217505762,,3516.35709072314,,226.46636331302793,,36.37262102299143,,432.3301102796039,,22.401325161,4.936911486,25160.418334,,3.8598349783435704,1.3541942258879807,13.912709576854352,,0.003459359202435579,,136.397548,,8500.0,2263.129921,121.0,,31400.0,4190.2333547,22700.0,3288.2236333,19300.0,2970.4648252,96.30554522214544,2.7962310421101724,98.29826324709204,2.769000740089422,7.329214000757207,1.2215500751074047,1.1301375108428418,0.5475822593490479,119588.87087325747,9926.625383810508,107142.33863000442,9878.057353973158,9.907840778658427,1.6640667503185054,90.23914448165414,26.62951321817903,1.2778612103603912,0.5744757976098944,1.0,,28.429455278292735,2.370641007790176,5.268523682812961,1.4584978452008834,50.72065153947094,2.4618494322348505,43260.79830687778,,18.0,,34.0,,4.0,,4.0,,1.2,0.9,87.30128578,
Community area,Near South Side,33,27296,2.8,3.5,16500.0,1935.8953279,17200.0,1988.7688796,2.1872241971928696,1.0257604500303636,13800.0,1775.0821696,96.8414664156229,,60.409504451609436,,3.9257462125591345,,1347.6039037090848,,92.39370184845023,,13.510627896954908,,206.6715423735872,,26.744170335,4.6428354601,15279.259614,,2.6788998428600768,1.9487614753117086,13.309065036260145,,3.9345582046424625,,64.71121,,6100.0,1268.7332964,144.0,,16800.0,1996.1194361,11700.0,1635.7076975,9200.0,1446.3971269,95.89750275490006,5.582374715643079,97.73808851556115,5.630743522183262,4.558603664973605,1.9693144182643723,2.5152527719968516,0.9301916157918001,126579.61892494017,13348.22154365267,94648.74245693158,6028.965715398789,7.315782324981738,1.7771295722769227,64.73592288812884,51.32086789710583,2.6651167261531756,1.6349750984721476,8.0,,21.298173514582476,3.18586378870224,13.784983337913859,0.8365254765225566,49.65573160938654,3.473868357929429,27534.50859629097,,12.0,,34.0,,11.0,,10.0,,2.8,4.3,79.85934054,
Community area,Armour Square,34,13847,18.5,8.1,8500.0,1009.923205,10000.0,1114.8751899,8.497918877048075,1.8203629343813323,5800.0,749.69830287,54.556466140474235,,15.325977186404444,,3.0519819099857215,,527.2529387765746,,39.66054361021789,,6.951257546352558,,104.2202492070304,,28.947283576,4.6599335243,5639.6218389,,4.976748579733419,2.1997106494668315,30.153253493493015,,18.841140504768536,,9.07837,,3800.0,599.54109051,35.0,,5700.0,818.67468187,7200.0,1025.2405387,5900.0,913.13368433,68.70486343186447,3.501696724823094,77.4180913367222,3.2828236233018684,8.775562678766725,2.865733938272168,9.389918867156206,3.0110309798732793,44802.359552381975,5566.943131892872,29703.664116725267,2350.073115227643,24.00129086539036,4.420405347345283,36.896938326152544,9.301630451468386,4.994816362127578,1.876742235978635,14.0,,48.15131652207252,3.36501219634207,24.126456403021436,1.2061014540304646,16.21916115204601,2.9855245867255897,14175.61618806398,,6.0,,11.0,,10.0,,8.0,,18.5,9.2,82.48000952,
Community area,Douglas,35,20292,26.2,11.4,11600.0,1796.0915745,11600.0,1830.0925648,6.849548665042955,1.0937798827365597,8900.0,1582.0093076,105.07446607452667,,25.238259276723067,,5.010383598061409,,977.0404200652811,,64.91456082949612,,12.151904358892988,,187.15131486097718,,35.098648712,6.8961548833,10477.806805,,5.10500378946518,1.3265985312988469,29.4880035000875,,36.581069357797084,,22.915417,,4100.0,1045.0433368,111.0,,7900.0,1491.4691061,5800.0,1361.0716289,5800.0,1307.9943792,89.00632811597191,4.573946823449278,96.23161271386834,4.690067015630645,15.08257048874997,2.2541748493342664,7.839847782654837,1.1660389473789776,59243.699039955995,6398.309675909694,37332.28633736583,2540.867076111578,26.927903661363644,2.874152386105241,51.44210824087151,4.4007875254104984,3.7636417498215122,0.9199921158732138,29.0,,22.431233623541246,2.347125777935657,19.595074314573765,1.0798998163400941,9.229673737544976,1.2397417368063408,21758.18160013379,,5.0,,61.0,,30.0,,26.0,,29.7,12.6,73.19364251,
Community area,Oakland,36,6803,30.7,19.4,3700.0,535.69487791,3800.0,535.43060429,6.887600522890596,2.255951513190868,3300.0,514.43409212,63.17858191031665,,6.9827931547369975,,1.683161996249088,,434.4617966631193,,24.485230496187267,,4.599658035132732,,93.94663243788573,,25.529106196,5.2762634772,3429.0636885,,1.3524854862822522,1.5088514633435361,32.40571279140467,,7.803663052276814,,2.461289,,2100.0,409.6003868,58.0,,2700.0,488.36661543,1900.0,365.40084689,1800.0,389.20174106,92.1147529009787,5.818873464890547,98.00817564563617,5.734965328961065,14.852825131342751,5.366578114105379,16.178135151879125,4.046639823734618,27513.993282293082,11844.129261103091,36121.988280799014,5013.083503671667,34.85953276675466,7.813269846715172,21.087731528096786,7.859571717872893,5.3241550249504,2.225909427188587,11.0,,10.919587543151623,3.3911998778515295,2.616941573191748,0.6586887860501417,6.130355696762711,2.2618419947848776,6949.247030412003,,1.0,,29.0,,19.0,,14.0,,62.6,22.2,71.96529488,
Community area,Fuller Park,37,2549,44.1,30.5,3300.0,491.16263981,3300.0,484.14252975,4.741432626889508,3.3913672949752525,2400.0,443.64562192,47.82660983702623,,6.843345496261224,,1.9847950504870673,,249.71869022301365,,32.577578073317724,,3.5484134350530847,,85.93739639588412,,35.319212113,6.7927777412,1142.5451204,,1.0567129068934753,3.4080745044232965,39.2616209,,97.10123325185106,,2.989545,,1800.0,341.47873765,16.0,,1900.0,368.92019861,2500.0,463.39826478,2100.0,426.23246618,73.98593945756825,6.039217509650433,96.1708157403533,13.520083847351486,21.746167411689527,14.068384296709066,9.613904153212287,6.266526986287135,21121.813607046977,2383.428235049462,16967.467481609765,3186.932084644689,55.36696016568171,11.424585576614835,15.206918327075103,4.639988935636314,5.0116137066359085,2.9298181693466154,7.0,,8.3573612236643,3.8829118209378133,26.772739216943084,1.5884800996788808,2.9214518294257426,1.270646215857218,2213.541924182201,,2.0,,27.0,,5.0,,5.0,,44.1,30.5,66.81783276,
